Endodermis,Epidermis,Exodermis,GeneralCortex,InnerCortex,MeristematicCortex,MeristematicZone,Phloem,QuiescentCenter,Vasculature,Xylem
,Solyc09g010913,Solyc09g011080,Solyc10g084325,,,,Solyc10g079630,,,
,Solyc09g011090,Solyc09g011110,Solyc10g085040,,,,Solyc10g079920,,,
,Solyc09g011235,Solyc09g011120,Solyc10g085230,,,,Solyc10g080340,,,
,Solyc09g011250,Solyc09g011560,Solyc10g085830,,,,Solyc10g080395,,,
,Solyc09g011590,Solyc09g011870,Solyc10g086380,,,,Solyc10g080880,,,
,Solyc09g011675,Solyc09g014280,Solyc10g086570,,,,Solyc10g080980,,,
,Solyc09g012000,Solyc09g014900,Solyc10g086580,,,,Solyc10g080990,,,
,Solyc09g014720,Solyc09g018785,Solyc11g005390,,,,Solyc10g081390,,,
,Solyc09g014990,Solyc09g031705,Solyc11g005650,,,,Solyc10g081770,,,
,Solyc09g015470,Solyc09g055180,Solyc11g006060,,,,Solyc10g082000,,,
,Solyc09g055950,Solyc09g059473,Solyc11g006300,,,,Solyc10g084095,,,
,Solyc09g056270,Solyc09g061250,Solyc11g006450,,,,Solyc10g084840,,,
,Solyc09g056360,Solyc09g061700,Solyc11g006470,,,,Solyc10g085380,,,
,Solyc09g056385,Solyc09g064740,Solyc11g007990,,,,Solyc10g085620,,,
,Solyc09g057875,Solyc09g064910,Solyc11g010380,,,,Solyc10g086440,,,
,Solyc09g061270,Solyc09g065410,Solyc11g010510,,,,Solyc11g005300,,,
,Solyc09g061280,Solyc09g065430,Solyc11g010570,,,,Solyc11g005670,,,
,Solyc09g061390,Solyc09g065770,Solyc11g010960,,,,Solyc11g006650,,,
,Solyc09g065420,Solyc09g066260,Solyc11g011190,,,,Solyc11g007260,,,
,Solyc09g066070,Solyc09g072590,Solyc11g011400,,,,Solyc11g007807,,,
,Solyc09g066300,Solyc09g074280,Solyc11g011440,,,,Solyc11g008830,,,
,Solyc09g066310,Solyc09g074430,Solyc11g011450,,,,Solyc11g008880,,,
,Solyc09g074850,Solyc09g074780,Solyc11g011740,,,,Solyc11g010300,,,
,Solyc09g075040,Solyc09g074890,Solyc11g011840,,,,Solyc11g010320,,,
,Solyc09g075120,Solyc09g075570,Solyc11g011875,,,,Solyc11g010350,,,
,Solyc09g075260,Solyc09g075670,Solyc11g012200,,,,Solyc11g011000,,,
,Solyc09g075350,Solyc09g075680,Solyc11g012210,,,,Solyc11g011546,,,
,Solyc09g075410,Solyc09g082080,Solyc11g012360,,,,Solyc11g012300,,,
,Solyc09g075580,Solyc09g082270,Solyc11g012510,,,,Solyc11g012530,,,
,Solyc09g075820,Solyc09g082390,Solyc11g012680,,,,Solyc11g012580,,,
,Solyc09g075930,Solyc09g082530,Solyc11g012700,,,,Solyc11g012930,,,
,Solyc09g075950,Solyc09g083130,Solyc11g012980,,,,Solyc11g012950,,,
,Solyc09g075960,Solyc09g089830,Solyc11g013345,,,,Solyc11g013220,,,
,Solyc09g082460,Solyc09g089890,Solyc11g013810,,,,Solyc11g013240,,,
,Solyc09g082570,Solyc09g090020,Solyc11g017010,,,,Solyc11g013300,,,
,Solyc09g082890,Solyc09g090330,Solyc11g017200,,,,Solyc11g017240,,,
,Solyc09g089680,Solyc09g090570,Solyc11g019910,,,,Solyc11g017440,,,
,Solyc09g089780,Solyc09g090775,Solyc11g020030,,,,Solyc11g018690,,,
,Solyc09g090010,Solyc09g091990,Solyc11g022600,,,,Solyc11g021160,,,
,Solyc09g090070,Solyc09g092480,Solyc11g039740,,,,Solyc11g030570,,,
,Solyc09g090350,Solyc09g092490,Solyc11g040305,,,,Solyc11g042710,,,
,Solyc09g090730,Solyc09g092500,Solyc11g042640,,,,Solyc11g042870,,,
,Solyc09g098445,Solyc09g097825,Solyc11g044360,,,,Solyc11g044660,,,
,Solyc10g005190,Solyc09g098180,Solyc11g066270,,,,Solyc11g045410,,,
,Solyc10g005350,Solyc09g098620,Solyc11g066290,,,,Solyc11g045527,,,
,Solyc10g005870,Solyc10g005360,Solyc11g066330,,,,Solyc11g045530,,,
,Solyc10g006275,Solyc10g005480,Solyc11g066470,,,,Solyc11g050760,,,
,Solyc10g006520,Solyc10g005790,Solyc11g066510,,,,Solyc11g056260,,,
,Solyc10g006700,Solyc10g005880,Solyc11g066530,,,,Solyc11g062110,,,
,Solyc10g007010,Solyc10g006030,Solyc11g066860,,,,Solyc11g063550,,,
,Solyc10g007110,Solyc10g006230,Solyc11g068550,,,,Solyc11g064835,,,
,Solyc10g007280,Solyc10g006370,Solyc11g068950,,,,Solyc11g065425,,,
,Solyc10g007420,Solyc10g006430,Solyc11g069940,,,,Solyc11g065950,,,
,Solyc10g008065,Solyc10g006600,Solyc11g071865,,,,Solyc11g066000,,,
,Solyc10g008830,Solyc10g006740,Solyc11g072000,,,,Solyc11g066010,,,
,Solyc10g008900,Solyc10g006755,Solyc11g072110,,,,Solyc11g066050,,,
,Solyc10g011910,Solyc10g006800,Solyc11g072200,,,,Solyc11g066490,,,
,Solyc10g012137,Solyc10g006970,Solyc11g072710,,,,Solyc11g066730,,,
,Solyc10g018320,Solyc10g007690,Solyc12g005650,,,,Solyc11g068620,,,
,Solyc10g018330,Solyc10g007750,Solyc12g006997,,,,Solyc11g068770,,,
,Solyc10g031550,Solyc10g007900,Solyc12g007010,,,,Solyc11g069520,,,
,Solyc10g045430,Solyc10g007930,Solyc12g007190,,,,Solyc11g069640,,,
,Solyc10g045457,Solyc10g007960,Solyc12g009270,,,,Solyc11g069930,,,
,Solyc10g046830,Solyc10g008020,Solyc12g009650,,,,Solyc11g071190,,,
,Solyc10g047330,Solyc10g008040,Solyc12g010380,,,,Solyc11g071195,,,
,Solyc10g048180,Solyc10g008100,Solyc12g010870,,,,Solyc11g071520,,,
,Solyc10g052600,Solyc10g008310,Solyc12g011320,,,,Solyc11g071560,,,
,Solyc10g052880,Solyc10g008655,Solyc12g013500,,,,Solyc11g071890,,,
,Solyc10g054400,Solyc10g008670,Solyc12g013690,,,,Solyc11g072120,,,
,Solyc10g054800,Solyc10g008680,Solyc12g013810,,,,Solyc11g072500,,,
,Solyc10g054840,Solyc10g008700,Solyc12g014310,,,,Solyc11g072610,,,
,Solyc10g054910,Solyc10g008960,Solyc12g014355,,,,Solyc11g072760,,,
,Solyc10g054975,Solyc10g009150,Solyc12g015680,,,,Solyc11g072900,,,
,Solyc10g055190,Solyc10g009270,Solyc12g015770,,,,Solyc11g073080,,,
,Solyc10g055810,Solyc10g009340,Solyc12g016110,,,,Solyc12g005060,,,
,Solyc10g075100,Solyc10g011815,Solyc12g017470,,,,Solyc12g005300,,,
